map,RoomID,playerInitialHealth,PlayerFinalHealth,HealthLost,TimeToExit,hasEnemies,nEnemies,EnemiesIds,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,100,10,10,0,9214,True,1,Name: Enemy2,Amount: 2,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,102,10,10,0,7737,True,1,Name: Enemy15,Amount: 1,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,122,10,9,-1,6335,True,1,Name: Enemy14,Amount: 2,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,104,9,9,0,15338,True,1,Name: Enemy19,Amount: 1,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,106,9,9,0,10394,True,2,Name: Enemy0,Amount: 2,Name: Enemy10,Amount: 1,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,84,9,7,-2,4295,True,1,Name: Enemy14,Amount: 1,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,64,7,7,0,4117,True,1,Name: Enemy11,Amount: 1,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,66,7,7,0,4716,True,1,Name: Enemy10,Amount: 1,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,46,7,7,0,4379,True,1,Name: Enemy1,Amount: 1,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,26,7,7,0,6215,True,1,Name: Enemy12,Amount: 2,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,6,7,6,-1,9497,True,1,Name: Enemy2,Amount: 2,
R15-K3-L3-E20-L1.5-CE0.5~0.6-LE0.1~0.2,8,6,6,0,14155,True,2,Name: Enemy19,Amount: 1,Name: Enemy16,Amount: 1,
